"","x"
"1","@ChuckCallesto I guess that’s one for #himtoo"
"2","@RealCandaceO And then you bravely started the #HIMTOO
#HEALSO
#HIMASWELL
Campaign. 

What a brilliant and brave mind you have. Who would think to give men the benefit of the doubt. They have been oppressed for far to long!!!!

#JUSTICEFORKAV
#WOMENFORMEN2020
#BLACKSFORWHITES2020"
"3","@pastorlocke Lol!

He is in danger?

You people are so soft. 

#ProtectTerrenceKWilliams
#HimToo
#JUSTICEFORKAVANAUGH"
"4","@RealCandaceO @SenSanders @AOC Wow!!
This tweet is worth the 8 days I had to wait to get more knowledge. 
Wealthy people RULE! Thanks for waking me up. 
Super fresh take. 

Welcome back 

#EMOTIONHARVESTING2020
#BLACKSFORWHITES2020
#JUSTICEFORKAVANAUGH
#HIMTOO
#HIMALSO"
"5","#RiverPhoenix https://t.co/0408xLGQNB 

#Programming #Hollywood #MeToo #StandByMe #HimToo #RestInProphecy ⚡️❤️🙏👑"
"6","@NederlandI #Himtoo!"
"7","#MeToo or #HimToo ⁦⁩ #SusanGermaise 
☝🏽General Counsel
👉🏼⁦@Loanmart⁩ 
⁦@800LoanMartJobs⁩ 

 https://t.co/NyBO7KWA4K"
"8","@BuduMalli #himtoo"
"9","stefan banica le-a batut pe Andreea Marin si Mihaela Radulescu. #tariceanusenior #PrivesteCerbul #himtoo"
"10","UPDATE #himtoo report on former US Attorney Amanda Marshall updated with OIG report saying she stalked and sexually harassed male subordinate. https://t.co/IGVpxklKUR"
"11","Who’s guilty, the person who makes someone sniff his 🥜 sweat or the person whom the sweaty 🥜 flavor was shoved on him???? #himtoo https://t.co/9m2dAXq7Gk https://t.co/yyHPPa2QzS"
"12","@haybailsdj @Acosta @CNN @donlemon #himtoo"
"13","@RealCandaceO Yeah, I don’t see #himtoo in support of the guy that Don Lemon assaulted. Seems biased to me!"
"14","Also the easiest non job for you #CreepyJoeBiden What did you do for 8 years besides harass children and women? #himtoo #BidenBlunders https://t.co/xNlu7k2mgC"
"15","@Jake_Blackson Trying to figure out the proper hashtag, #HimToo or #MeThree?"
"16","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"17","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"18","@biekepurnelle #himToo"
"19","@TheMarkPantano .
#HimToo"
"20","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"21","@benjiaflalo You need to report that to someone #himtoo"
"22","@RepAdamSchiff Its real ch seeing you wave your flag of virtue.....someone who used the HUSH SLUSH FUND  for a #himtoo incident with damn near a teenage boy. Virtue your ass and open up the books on the HUSH SLUSH FUND!!! We want to know!!!"
"23","@TraceeWilkins Mugshot eerily similar to that of #harveyweinstein #himtoo"
"24","@LonnieDukes #HimToo"
"25","#himtoo #MeToo https://t.co/HbwfbPBVfb"
"26","@RepStevenSmith @mPinoe -- 🆘YOU ARE NOT WORTH IT!  LOOK AT THE NUMBERS!!  #HimToo #NFL #NBA @NBA @NFL #TodayShow #FakeNews #ESPN https://t.co/bFFfYoNh12"
"27","@boredpanda #himtoo if the roles were reversed would it have been cute and funny or a potential lawsuit"
"28","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"29","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"30","@BowTwoMesa @mattrife @chrissyteigen In this era.. this is still wrong. #HimToo"
"31","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"32","@RealJack #himtoo"
"33","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"34","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"35","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"36","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
